aX,aY,aZ,gX,gY,gZ
0.820,-0.251,0.036,18.005,-9.949,89.539
0.832,-0.196,0.089,13.794,-13.428,85.327
0.841,-0.170,0.134,14.832,-13.977,77.942
0.848,-0.206,0.147,18.921,-11.047,68.359
0.854,-0.242,0.151,22.461,-7.446,59.570
0.865,-0.288,0.141,23.682,-4.456,52.246
0.876,-0.326,0.152,20.813,-2.808,46.997
0.886,-0.361,0.173,16.846,-2.075,44.189
0.892,-0.344,0.157,12.817,-0.366,42.786
0.897,-0.312,0.104,12.085,0.732,41.199
0.906,-0.318,0.081,12.939,-1.587,37.292
0.922,-0.321,0.128,11.536,-5.554,33.386
0.933,-0.319,0.185,9.949,-7.629,29.480
0.947,-0.281,0.221,10.254,-6.592,25.330
0.957,-0.279,0.234,9.216,-3.540,19.104
0.958,-0.329,0.235,9.277,-0.244,11.414
0.956,-0.380,0.234,9.216,3.235,5.737
0.950,-0.425,0.205,7.751,7.019,2.563
0.945,-0.475,0.169,7.385,9.338,1.465
0.940,-0.491,0.155,9.888,8.728,3.052
0.938,-0.445,0.152,11.475,7.507,6.714
0.933,-0.404,0.147,9.399,6.775,8.850
0.932,-0.379,0.150,7.202,5.737,8.484
0.924,-0.396,0.162,6.531,5.188,7.324
0.912,-0.419,0.164,7.019,5.554,6.714
0.899,-0.457,0.152,3.784,6.714,8.057

1.438,-0.601,-0.693,64.636,101.868,-95.642
1.426,-0.475,-0.814,73.120,121.765,-100.403
1.191,-0.411,-1.099,80.078,152.222,-115.051
0.991,-0.415,-1.670,95.581,190.247,-134.949
0.770,-0.485,-2.315,117.188,214.478,-149.902
0.542,-0.508,-2.576,122.986,202.454,-161.621
0.245,-0.758,-2.866,124.329,184.509,-171.204
-0.027,-0.998,-3.356,116.333,168.457,-172.729
-0.242,-0.910,-3.700,119.873,125.977,-157.654
-0.387,-0.722,-3.551,126.343,46.814,-139.221
-0.580,-0.956,-3.031,108.704,-43.213,-135.132
-0.605,-1.219,-2.194,64.453,-129.150,-121.826
-0.637,-1.274,-0.861,18.616,-212.280,-84.656
-0.668,-1.244,0.387,-19.104,-259.277,-41.199
-0.531,-0.926,1.417,-32.532,-263.550,10.010
-0.239,-0.292,2.742,-5.737,-262.878,61.523
0.095,0.784,3.799,28.198,-241.211,83.618
0.357,1.361,3.464,92.285,-166.077,41.199
0.826,0.843,3.156,130.188,-126.831,-59.387
1.169,-1.054,4.000,85.693,-215.576,-153.198
1.382,-2.709,4.000,27.588,-275.513,-172.241
1.465,-2.230,4.000,13.489,-162.659,-81.726
1.273,-0.677,4.000,-15.503,33.936,22.827
0.894,-0.187,3.580,-51.636,110.901,28.809
0.655,-0.195,2.693,-77.637,116.577,4.028
0.366,-0.212,1.871,-64.758,132.324,-8.240
0.236,-0.463,1.134,-68.726,143.127,-18.494
0.207,-0.859,0.943,-66.284,121.521,-21.667
0.229,-1.030,1.044,-71.289,92.529,-7.202
0.239,-1.046,0.848,-82.520,92.468,13.794
0.252,-0.956,0.528,-80.627,100.586,33.875
0.307,-0.805,0.307,-75.012,98.389,47.180
0.362,-0.654,0.150,-80.505,96.619,47.913
0.401,-0.630,-0.065,-75.134,100.464,35.278
0.410,-0.673,-0.331,-50.476,106.018,16.724
0.438,-0.757,-0.558,-16.907,106.140,-0.366
0.426,-0.995,-0.729,14.832,100.769,-13.611
0.444,-1.111,-0.896,37.903,94.482,-13.672
0.450,-1.113,-1.124,44.861,89.233,1.526
0.459,-1.045,-1.317,20.935,80.383,23.376
0.505,-0.822,-1.341,-8.606,61.218,49.866
0.568,-0.496,-1.279,-37.598,41.260,71.289
0.602,-0.335,-1.256,-69.153,28.442,75.195
0.613,-0.351,-1.268,-95.886,19.165,66.956
0.636,-0.340,-1.210,-101.440,6.409,62.256
0.665,-0.335,-1.063,-92.651,-7.568,57.617
0.677,-0.346,-0.957,-82.153,-14.038,49.255
0.684,-0.337,-0.895,-68.970,-16.418,40.649
0.731,-0.267,-0.782,-45.715,-19.958,32.532
0.777,-0.330,-0.627,-29.419,-23.254,21.057
0.797,-0.542,-0.556,-21.790,-19.653,10.254
0.826,-0.590,-0.530,-16.968,-14.099,10.620
0.869,-0.570,-0.501,-10.498,-12.695,16.113
0.902,-0.598,-0.407,-6.775,-15.076,16.479
0.918,-0.662,-0.354,-6.409,-14.160,15.015
0.927,-0.703,-0.325,-15.991,-10.315,15.015
0.940,-0.718,-0.311,-24.658,-8.850,16.724
0.953,-0.765,-0.294,-30.945,-10.254,16.846
0.992,-0.792,-0.296,-33.325,-11.414,16.174
0.959,-0.886,-0.182,-27.954,-13.184,14.099
0.979,-0.892,-0.130,-16.663,-12.695,16.113
0.988,-0.822,-0.134,-3.418,-8.179,22.095
0.974,-0.704,-0.144,4.150,-5.066,27.283
0.962,-0.562,-0.170,8.728,-2.869,28.809
0.944,-0.470,-0.184,10.559,-1.282,27.222
0.932,-0.378,-0.194,11.597,-0.916,24.536
0.938,-0.290,-0.165,9.949,-1.343,21.240
