aX,aY,aZ,gX,gY,gZ
0.158,-0.849,0.102,-15.137,-30.457,14.648
0.160,-0.856,0.099,-11.169,-25.940,13.489
0.160,-0.845,0.073,-11.108,-19.775,12.268
0.152,-0.856,0.028,-14.221,-13.428,9.705
0.133,-0.887,-0.019,-12.085,-8.667,6.470
0.117,-0.902,-0.049,-8.423,-6.104,3.906
0.100,-0.914,-0.069,-4.150,-4.639,1.709
0.085,-0.929,-0.070,-3.723,-2.991,-1.221
0.069,-0.962,-0.073,-2.014,-0.854,-4.028
0.044,-1.003,-0.078,0.122,2.197,-6.470
0.024,-1.036,-0.081,0.793,5.432,-7.690
-0.001,-1.075,-0.084,2.014,8.789,-7.629
-0.028,-1.123,-0.099,2.808,12.573,-6.592
-0.049,-1.117,-0.127,3.235,16.602,-3.540
-0.069,-1.073,-0.166,6.104,19.897,0.854
-0.088,-1.038,-0.201,7.324,21.729,3.296
-0.105,-1.019,-0.237,7.690,22.827,4.211
-0.123,-1.012,-0.266,9.094,23.926,4.089
-0.140,-1.019,-0.298,10.010,24.780,3.357
-0.154,-1.034,-0.315,9.216,24.475,3.540
-0.165,-1.036,-0.306,7.812,23.804,5.127
-0.175,-1.015,-0.314,6.409,24.780,7.263
-0.185,-0.976,-0.352,7.629,26.978,9.094
-0.197,-0.948,-0.385,9.277,27.283,9.338
-0.207,-0.948,-0.397,9.766,25.696,7.812
-0.213,-0.946,-0.389,7.385,23.193,6.897
-0.212,-0.936,-0.390,6.592,21.484,7.019
-0.214,-0.928,-0.379,7.629,19.897,6.775
-0.224,-0.942,-0.376,7.263,19.104,5.981
-0.235,-0.957,-0.404,4.944,19.897,5.859
-0.237,-0.955,-0.430,3.906,19.775,6.897
-0.234,-0.933,-0.429,5.005,17.639,8.301
-0.233,-0.914,-0.419,6.348,15.198,8.728
-0.230,-0.899,-0.406,6.470,13.733,8.484
-0.228,-0.900,-0.401,7.629,12.451,7.507
-0.226,-0.906,-0.401,6.287,11.475,6.226
-0.225,-0.903,-0.395,6.775,9.827,5.737
-0.220,-0.901,-0.384,8.118,8.240,5.005
-0.216,-0.909,-0.370,6.592,7.385,4.272
-0.212,-0.910,-0.358,3.113,7.202,3.723
-0.207,-0.905,-0.358,2.380,7.690,3.784
-0.209,-0.909,-0.372,0.610,8.301,2.869
-0.210,-0.922,-0.392,2.075,8.118,1.648
-0.211,-0.951,-0.380,1.709,6.348,0.793
-0.206,-0.939,-0.352,-0.732,4.700,1.343
-0.201,-0.927,-0.338,0.549,4.395,2.197
-0.209,-0.964,-0.344,-1.038,5.554,1.160
